round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,land_households_share,gini_wealth_attributed,land_supply,land_demand,land_sold,land_levy,land_levy_scale,new_firms,entries,coops_open,hhi_bread,owners,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,land_price_traded,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,128,4,4,6015.067999999998,0.0,6036.397599999999,0.0,949.0739999999996,,0.0,0.0,949.0739999999996,0.0,949.0739999999996,0.0,0.00375,0.0,0.0,0.0,1.0,975.0003,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9791666666666666,0.31301406231249573,0.0,128.0,0.0,0.0,1.0,0,0,0,1.0,48,10.188953846153844,1.4230153846153846,11.611969230769228,2.653907692307692,1.4230153846153846,4.076923076923077,299.9692000000007,0.0,299.9692000000007,0.0,0,0,0.0,0.0,10.3032,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,21.3296,21.3296,0.0,4,1.176,92.428,157.40599999999998,25.926299999999998,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,810.0,162.89399999999986,0.005,5.0,5.199999999999997,2.0,0.75,3.73124324324325,3.9200000000000013,80.0,15.0,40.0,512.0,185.0,51.0,81,0,0,0,9,6.0,512.0,4401.576,0.0,1042.9548,188,4,0,32,0.12021830362579222,0.31301406231249573,0.09038229166832457,0,1256.7939999999996,75.0,9,0,7.0,0,0,0,0.0,0,0.0,6883.194000000002,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,14.0,52.0,570.5372,4,0.0,0.0,NaN,1280.0,100.0,-0.2849433333333334,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,81,0.0,0,12,0.0,0,0.0,1200.0,0.0,652.828,0.0,652.828,0.0,0.0,1452.3419999999999,1613.4919999999997,0.33795770888282695,96,3357.818,32,3525.3760000000007,4,0.0,4,341.72,2,20.15360000000003,0.0,11.925,11.25,0,0,40,40,8 + shareholders & share market,debt,2,3.637978807091713e-11
2,128,4,4,5971.597399999999,0.0,6018.4478,0.0,1457.6735999999983,,0.0,84.3938,1373.2797999999982,0.0,424.20579999999956,3.558449999999999,0.00375,0.0,0.0,0.0,1.0,585.0003,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9791666666666666,0.32669503498677765,0.0,91.0,0.0,0.0,1.0,0,0,0,0.25695036793939474,48,10.177592307692306,1.5772846153846152,11.754876923076921,2.553045384615385,1.5772846153846152,4.13033,859.6382000000065,262.1391999999996,897.4682000000065,0.0,0,0,0.0,0.0,73.56569999999999,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,46.85039999999999,60.710600000000014,0.0,13,98.254,141.7246,604.4575999999998,79.9596999999999,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,420.0,443.1762000000012,0.003662440143685384,4.894000000000005,5.479325,1.85,1.1283361111111114,3.517560117302041,3.802399999999999,224.0,263.0,112.0,512.0,341.0,51.0,42,0,0,2,9,6.0,512.0,3950.7808,2.1796,1708.9525,188,4,0,32,0.11931821726859648,0.32669503498677765,0.28053497120776383,1,1262.8577999999995,1287.1220000000012,9,0,2.0,0,0,0,0.0,0,0.0,6856.604600000006,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,3.7,64.0,309.6845,4,0.0,0.0,NaN,1280.0,100.0,-0.25176563802083335,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,42,0.0,0,12,0.0,0,0.0,1200.0,0.0,3202.177562162167,0.0,3202.177562162167,0.0,0.0,1328.6042,2020.8165999999999,0.3458420071996646,96,3310.3635999999997,32,3546.241,4,0.0,4,341.72,2,45.73319999999981,-84.3938,12.640500000000001,11.25,0,0,112,112,8 + shareholders & share market,debt,2,3.637978807091713e-11
3,128,4,4,6533.315399999997,0.0,6591.290000000002,0.0,1721.7827999999984,,0.0,80.1741,1641.6086999999984,0.0,268.32890000000003,5.148364125000012,0.00375,0.0,0.0,0.0,1.0,569.3818000000001,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9791666666666666,0.31261719698362356,0.0,246.0,0.0,0.0,1.0,0,0,0,0.25,48,11.569345509414967,1.830794379302755,13.400139888717723,2.913085882241989,1.830794379302755,4.743880261544744,959.0172000000074,897.4682000000068,959.0172000000074,0.0,0,0,0.0,0.0,63.0141,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,57.97459999999999,90.80020000000003,0.0,15,698.3777000000002,136.6597,900.9957000000002,310.84449999999987,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,407.8800000000001,0.0,0.007231034757273351,4.847345454545462,5.472901526717561,1.7769333333333333,1.3422236220472448,3.4788716763006033,3.688327999999999,262.0,264.0,131.0,509.33333333333337,346.0,51.0,41,0,0,1,10,5.0,512.0,4413.293900000003,130.26909999999998,1828.2031,188,4,0,32,0.1298133204217935,0.31261719698362356,0.1958593223735261,0,2019.0943,1279.699200000002,10,0,9.0,0,0,0,0.0,0,0.0,7582.973000000005,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,15.9924,31.0,161.5493,4,0.0,0.0,NaN,1280.0,100.0,-0.2825886979166667,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,41,0.0,0,12,0.0,0,0.0,1200.0,4.4736,3568.724659775161,0.0,3568.724659775161,0.0,0.0,1573.3970000000002,2120.0215,0.3309274689556323,96,3695.6774000000014,32,3887.2956000000004,4,0.0,4,341.72,2,56.91620000000001,-80.1741,13.398930000000002,11.25,0,0,131,131,8 + shareholders & share market,debt,2,3.637978807091713e-11
4,128,4,4,6424.376600000002,0.0,6487.368799999999,0.0,2052.627399999998,,0.0,75.9544,1976.6729999999982,0.0,335.06429999999995,6.154329625000009,0.00375,0.0,0.0,0.0,1.0,469.02139090909094,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9739583333333334,0.49906960100520226,0.0,127.0,1.0,0.0,1.0,0,0,0,0.2647582980619292,48,25.711586573806343,1.2005032240268751,26.912089797833218,3.0139247867479577,1.1975523623051398,4.211477149053097,1001.545799999997,833.9649000000051,1126.5980999999958,0.0,0,0,0.0,0.0,83.7306,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,62.9922,120.71019999999997,0.0,23,38.295100000000005,147.2339,573.8614000000001,144.7336999999998,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,309.05870000000004,435.4063000000006,0.008245316579994836,5.43382014925373,5.4466556390977425,1.7372714285714286,1.4454882812499998,3.374958115183241,3.5776781599999983,266.0,268.0,133.0,510.6666666666667,381.99999999999994,51.0,31,0,0,3,14,6.0,512.0,3712.9515000000006,638.3063,2026.2717,187,5,0,32,0.15246095596892406,0.49906960100520226,0.27679820949234824,5,1126.7803000000004,1456.2637999999997,14,0,42.0,0,0,0,0.0,0,0.0,11358.9288,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,72.9654,63.0,46.847100000000005,4,0.0,0.0,NaN,1280.0,100.0,-0.2296527864583333,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,31,0.0,0,12,0.0,0,0.0,1200.0,4.2499,3441.4561788658525,0.0,3441.4561788658525,0.0,0.0,1242.8969,2711.4250999999995,0.5082289902887112,96,3314.1435000000015,32,8044.785299999999,4,0.0,4,341.72,2,61.99259999999968,-75.9544,14.202865800000003,33.4546,0,0,133,133,8 + shareholders & share market,debt,2,3.637978807091713e-11
5,128,4,4,6368.650599999998,0.0,6430.090800000001,0.0,2377.7265999999986,,0.0,109.4053,2268.3212999999987,0.0,291.6483000000002,7.410327500000012,0.00375,0.0,0.0,0.0,1.0,568.4237268656717,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9739583333333334,0.4914169792034291,0.0,100.0,0.0,0.0,1.0,0,0,0,0.2623078636667409,48,23.56052682424498,1.4925432413465833,25.053070065591566,2.3282954006631966,1.4954580344577681,3.8237534351209646,1007.2193999999995,944.3490999999963,1189.4683999999993,0.0,0,0,0.0,0.0,83.1384,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,61.440200000000004,147.717,0.0,35,84.06250000000001,139.78849999999997,516.82,251.11590000000038,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0,0.0,0.0,0.0,389.1067999999999,75.86399999999999,0.009761459158392037,5.601280597014925,5.58062706766917,NaN,1.5756156250000006,3.4228496205768812,3.4703478152,266.0,268.0,133.0,508.00000000000006,356.00000000000006,51.0,37,0,0,2,13,7.0,512.0,3898.8000999999977,210.7518,2258.1958,187,5,0,32,0.12744173341145348,0.4914169792034291,0.22666528470520486,1,1955.8326999999995,1501.1431999999998,15,2,0.0,0,0,0,0.0,0,0.0,11818.816300000008,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,37.0,0.9029,4,0.0,0.0,NaN,1280.0,100.0,-0.23833085286458336,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,37,0.0,0,12,0.0,0,0.0,1200.0,21.8593,3347.9518509203162,0.0,3347.9518509203162,0.0,0.0,1438.8932999999995,2469.8504999999996,0.5016377990189618,96,3479.468699999999,32,8339.3476,4,0.0,4,341.72,2,60.49940000000001,-109.4053,15.055037748000004,33.4546,0,0,133,133,8 + shareholders & share market,debt,2,3.637978807091713e-11
6,128,4,4,6526.756399999998,0.0,6583.932900000001,0.0,2866.1563999999985,,0.0,363.8291,2502.3272999999986,0.0,234.00599999999994,8.503576875000011,0.00375,0.0,0.0,0.0,1.0,630.599901492537,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9739583333333334,0.5128748605101667,0.0,109.0,0.0,0.0,1.0,0,0,0,0.26119402985074625,48,23.169203085713917,1.3864954389428008,24.55569852465672,1.482325859794978,1.4007792604586038,2.883105120253582,1017.144299999996,861.4105000000009,1345.2022000000095,35.0148,0,0,0.0,0.0,80.353,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,57.176500000000004,172.25459999999993,0.0,56,294.43409999999994,136.32830000000004,1148.5582999999997,151.22429999999994,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0,0.0,0.0,0.0,445.7590000000002,504.29080000000005,0.010085342452683636,5.59294067164179,5.644209701492541,NaN,1.7314472868217052,3.448863467345377,3.3662373807439985,268.0,268.0,134.0,509.3333333333333,346.00000000000006,51.0,40,0,0,0,12,7.0,512.0,3397.4943000000003,664.3729000000001,2463.9863,187,5,0,32,0.10107352796920055,0.5128748605101667,0.23607745652771572,0,1221.4909000000002,1498.9080999999996,12,0,0.0,0,0,0,0.0,0,0.0,11547.526200000006,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,25.0,0.9029,4,0.0,0.0,NaN,1280.0,100.0,-0.18859616536458332,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0.0,0,12,0.0,0,0.0,1200.0,25.8496,2756.2322789400855,0.0,2756.2322789400855,0.0,0.0,1241.1283999999998,3129.2621,0.5221300339341071,96,3206.4507000000003,32,8341.075500000003,4,0.0,4,341.72,2,56.29450000000003,-363.8291,15.958340012880004,33.4546,0,0,134,134,8 + shareholders & share market,debt,2,3.637978807091713e-11
7,128,1,4,16104.703300000001,0.6378,13288.9507,0.0,13245.736799999999,,0.0,10647.1235,2598.6132999999995,0.0,96.286,9.380863750000007,0.00375,0.0,0.0,0.0,1.0,697.0895126865666,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9739583333333334,0.517607049509839,0.0,96.0,0.0,0.0,1.0,1,0,0,0.2629999018081331,24,23.840596590585868,1.2908277596307507,25.13142435021662,2.2659677298530743,1.2523156125346284,3.518283342387703,979.5460000000016,942.7756999999997,128.69359999999998,0.0,7,0,500.6282999999976,9889.6253,50.5707,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,46.10860000000001,184.99289999999993,2796.0874000000003,77,10407.7793,829.1945999999996,11082.109600000002,218.3379999999996,0.0,0.0,0.0,0.0,0.0,1,9885.3632,0.0,0.0,0.0,0.0,512.5237000000001,30.016599999999997,0.008103344946237784,5.6159441947565565,5.616795522388067,NaN,1.9218790697674417,3.508150898966704,3.2652502593216792,268.0,267.0,134.0,512.0,325.0,51.0,46,0,0,1,9,10.0,512.0,3499.5791000000004,71.2368,2648.2591,187,0,5,32,0.13154518866818865,0.517607049509839,0.1441066877661814,2,1766.0911999999996,1499.4571000000005,9,0,0.0,0,0,0,0.0,0,0.0,11665.718700000007,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,1.0,0.2651,1,0.0,0.0,NaN,1280.0,100.0,0.02406053385416665,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,46,0.0,0,6,0.0,0,0.0,655.4092,88.3326,1101.4103268998917,0.0,1101.4103268998917,0.0,0.0,703.8652,2719.761,0.6796467975509399,96,3202.310700000001,32,8463.408000000001,1,0.0,4,341.72,2,7235.4226,-10647.1235,16.915840413652806,33.4546,0,7,10,134,8 + shareholders & share market,debt,2,3.637978807091713e-11
8,128,1,4,17343.917899999986,0.6378,14239.78490206826,0.0,13857.512999999999,,0.0,11013.4641,2844.0489000000002,0.0,245.43559999999988,9.741551500000003,0.00375,0.0,0.0,0.0,1.0,700.2135744032645,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9739583333333334,0.43365087541897673,5.0,227.0,5.0,0.0,1.0,2,0,0,0.25,22,15.833205977411557,1.4029163621953566,17.23612233960691,2.247373991867815,1.2649499737143317,3.512323965582147,989.8444999999999,119.6949,985.8405,0.0,8,0,513.6309999999976,9889.6253,76.8892,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,110.7375,249.62179999999998,3238.0517000000004,80,1880.4602999999997,641.2457,981.6384,151.41840000000008,0.0,0.0,0.0,0.0,0.0,0,9859.1374,0.0,0.0,0.0,0.0,514.8879000000001,22.423600000000004,0.002275853168649843,5.595178409090907,5.628799999999999,NaN,1.997046825396824,3.499769840331168,3.167292751542029,262.0,264.0,131.0,510.66666666666663,323.0,51.0,46,0,0,2,11,9.0,512.0,3465.516400000001,0.0,3493.8561,187,5,0,32,0.1310691275151663,0.43365087541897673,0.13367122486691385,1,1689.9785000000008,1477.1270999999995,12,1,0.0,0,0,0,0.0,0,0.0,8245.20655735307,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,525.408,1,0.0,0.0,NaN,1280.0,100.0,0.18801791666666665,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,46,0.0,0,6,0.0,0,0.0,1102.6808,542.3122,2248.1131615437503,0.0,2248.1131615437503,0.0,0.0,663.8140000000001,4019.2641,0.6635989783391252,96,3187.387799999999,32,5057.818757353074,1,0.0,4,421.19419999999997,2,6753.602202068265,-11013.4641,17.930790838471975,16.915840413652806,0,8,131,131,8 + shareholders & share market,debt,2,3.637978807091713e-11
9,128,1,4,17511.302499999998,1.2756,14471.314000000002,0.0,14458.3033,,0.0,10723.5302,3734.7731000000013,0.0,890.7242000000001,10.661375125000003,0.00375,0.008,0.0,0.0,1.0,688.723470292689,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9739583333333334,0.44912744463002396,0.0,238.0,1.0,0.0,1.0,2,0,0,0.26378062565141436,22,17.372605253585995,1.2512785850942065,18.6238838386802,1.9742430893257397,1.2562835812009163,3.2305266705266558,1036.7268999999994,855.4265999999999,1167.1407999999988,0.0,8,0,513.6309999999976,9889.6253,73.99539999999999,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,178.4734,317.5181999999999,3238.0517000000004,81,890.9901,722.9677,419.7605,153.67500000000004,0.0,0.0,0.0,0.0,0.0,0,9810.6825,0.0,0.0,0.0,0.0,504.0844000000002,0.0,0.010895304885102429,5.563010344827587,5.889873684210523,NaN,2.00991875,3.596372642711523,12.336844674507573,266.0,261.0,133.0,509.33333333333337,326.99999999999994,51.0,45,0,0,0,10,4.0,512.0,3401.2305000000006,706.4401,3508.7082,187,5,0,32,0.12219828580237335,0.44912744463002396,0.1547742963267411,0,1744.7994999999999,1451.9457000000002,10,0,0.0,0,0,0,0.0,0,0.0,8544.553857353074,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,8.0,84.2332,1,0.0265,0.0184,NaN,1280.0,100.0,0.15522492214430525,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,45,0.0,0,6,0.0,0,0.0,1102.6808,533.251,1620.3809159176044,0.0,1620.3809159176044,0.0,0.0265,667.9902999999999,4299.3815,0.6704813159543792,96,3184.4752999999996,32,5360.078557353075,1,0.0,4,563.4971,2,6768.712800000001,-10723.5222,19.006638288780294,16.915840413652806,0,8,133,133,8 + shareholders & share market,debt,2,3.637978807091713e-11
10,128,1,4,17487.281099999997,1.9134000000000002,14513.803899999999,0.0,14799.151500000002,,0.0,10711.1738,4087.977700000001,0.0,353.2046000000001,14.001272000000002,0.00375,0.0,0.0,0.0,1.0,697.3872105853914,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9739583333333334,0.4645899506161497,0.0,114.0,0.0,0.0,1.0,2,0,0,0.2647582980619292,22,18.522992501219278,1.2471809935931006,19.77017349481238,2.0286629679587342,1.2263006275488972,3.2549635955076317,1083.7360999999996,1167.1407999999979,1083.7360999999996,0.0,8,0,513.6309999999976,9889.6253,78.76100000000001,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,248.5759,387.77320000000003,3238.0517000000004,81,746.5002,769.8838000000002,581.3913,424.15420000000006,0.0,0.0,0.0,0.0,0.0,0,9729.474900000001,0.0,0.0,0.0,0.0,513.8076999999998,0.0,0.013798722166443685,5.608611940298509,6.211455639097748,NaN,2.051454687500003,3.6888078196286447,11.966739334272345,266.0,268.0,133.0,512.0,325.0,51.0,46,0,0,0,11,5.0,512.0,3366.8696999999993,718.2943,3608.417,187,5,0,32,0.12956495776143373,0.4645899506161497,0.15592409155328402,0,1756.038599999999,1503.1080000000004,11,0,0.0,0,0,0,0.0,0,0.0,8805.321557353078,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,6.0,64.2252,1,0.0,0.0,NaN,1280.0,100.0,0.15863691433180524,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,46,0.0,0,6,0.0,0,0.0,1102.6808,524.1898,1695.720757702601,0.0,1695.720757702601,0.0,0.0,680.8470999999997,4390.9365,0.6736403343871078,96,3154.2102000000014,32,5651.111357353076,1,0.0,4,632.0190000000001,2,6753.4375,-10711.1738,20.147036586107113,16.915840413652806,0,8,133,133,8 + shareholders & share market,debt,2,3.637978807091713e-11
